               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1137,            0.025436,            0.028593,           0.0078551,             0.72941,            0.011048,           0.0026137,             0.09293,            0.017723,            0.023783,              0.0901,              0.0011,              0.0011
                   1,            0.094506,            0.030841,            0.021043,            0.047038,             0.82353,            0.068792,            0.019542,            0.075801,            0.018036,            0.014491,            0.079254,           0.0022545,           0.0022545
                   2,            0.078416,            0.034185,            0.013348,             0.38796,             0.53695,             0.39066,             0.14704,            0.065765,            0.015403,           0.0053486,            0.068361,           0.0033614,           0.0033614
                   3,            0.070252,            0.030444,           0.0071768,             0.20073,             0.45882,             0.18074,            0.051699,            0.068954,            0.016739,           0.0021209,            0.057421,           0.0044208,           0.0044208
                   4,            0.067826,            0.029106,           0.0043281,             0.25726,             0.70588,             0.29095,            0.096638,            0.065951,            0.014953,           0.0012007,            0.046433,           0.0054327,           0.0054327
                   5,            0.064765,            0.025512,           0.0030661,             0.35664,             0.55294,              0.4521,             0.16737,            0.078874,            0.012001,          0.00099637,            0.035397,           0.0063971,           0.0063971
                   6,            0.067151,            0.026119,           0.0026649,             0.43163,             0.61176,             0.46884,             0.15153,            0.077457,           0.0099133,           0.0010614,            0.024314,            0.007314,            0.007314
                   7,            0.070352,            0.024811,           0.0022992,             0.67411,             0.68141,             0.74327,             0.27023,            0.055688,           0.0095956,           0.0011378,            0.013183,           0.0081833,           0.0081833
                   8,            0.060153,            0.023566,           0.0020312,              0.4708,             0.59661,             0.50513,             0.18937,            0.066086,            0.009092,           0.0010944,            0.008416,            0.008416,            0.008416
                   9,            0.060219,            0.026795,           0.0020156,             0.32578,             0.67059,             0.39978,             0.10744,            0.067256,           0.0089024,          0.00095984,            0.008416,            0.008416,            0.008416
                  10,            0.061263,             0.02424,           0.0018128,             0.47379,             0.64706,             0.56157,             0.28443,            0.059906,           0.0084897,           0.0010216,            0.008218,            0.008218,            0.008218
                  11,            0.056648,            0.023212,            0.001828,             0.48254,             0.83378,              0.6502,             0.35882,            0.052387,           0.0085323,           0.0012052,             0.00802,             0.00802,             0.00802
                  12,            0.050967,            0.022884,           0.0018191,             0.65265,             0.64706,             0.74343,             0.38874,            0.053241,            0.008367,           0.0010917,            0.007822,            0.007822,            0.007822
                  13,            0.050554,            0.020991,           0.0015766,             0.78151,             0.77647,             0.86044,             0.41661,            0.047204,             0.00835,           0.0012312,            0.007624,            0.007624,            0.007624
                  14,            0.049348,            0.025388,           0.0016634,             0.68324,             0.77647,             0.75875,             0.35533,            0.051905,           0.0083059,           0.0011158,            0.007426,            0.007426,            0.007426
                  15,            0.048153,            0.022029,           0.0014978,              0.8179,             0.79264,             0.88457,             0.45124,            0.043723,           0.0083563,           0.0011218,            0.007228,            0.007228,            0.007228
                  16,            0.047995,            0.022002,           0.0014232,             0.85928,             0.83529,             0.91442,             0.42612,            0.046378,           0.0082074,           0.0010738,             0.00703,             0.00703,             0.00703
                  17,            0.047924,            0.023594,           0.0013539,             0.77891,             0.87059,             0.88478,             0.47837,            0.040884,           0.0083466,           0.0010697,            0.006832,            0.006832,            0.006832
                  18,            0.044898,            0.021726,           0.0012603,             0.81513,             0.77812,             0.85591,             0.46458,            0.044249,           0.0083631,           0.0010574,            0.006634,            0.006634,            0.006634
                  19,            0.042933,              0.0223,            0.001245,             0.79802,                 0.8,             0.87137,             0.44816,            0.040948,           0.0084846,           0.0010625,            0.006436,            0.006436,            0.006436
                  20,            0.042696,            0.021733,           0.0011824,             0.92993,             0.78077,             0.91425,             0.53322,            0.039227,           0.0082659,          0.00099409,            0.006238,            0.006238,            0.006238
                  21,            0.042071,            0.021961,           0.0011418,             0.84444,             0.78824,             0.88658,             0.52349,            0.042316,           0.0082407,          0.00093682,             0.00604,             0.00604,             0.00604
                  22,             0.04043,            0.020754,          0.00097282,             0.82224,                 0.8,             0.89925,             0.51006,            0.039904,           0.0082617,          0.00091087,            0.005842,            0.005842,            0.005842
                  23,             0.04075,            0.021471,          0.00099824,             0.75717,             0.80707,             0.85076,             0.52041,            0.037985,           0.0083577,          0.00086811,            0.005644,            0.005644,            0.005644
                  24,            0.038524,            0.022613,          0.00095001,             0.82878,             0.79729,             0.90722,             0.51314,            0.035685,           0.0083121,          0.00084039,            0.005446,            0.005446,            0.005446
                  25,            0.036749,            0.020168,          0.00090344,             0.80235,             0.90742,             0.92816,             0.52017,            0.036229,            0.008139,          0.00080799,            0.005248,            0.005248,            0.005248
                  26,            0.037874,            0.021859,          0.00091386,             0.83102,             0.89412,             0.91167,             0.50446,            0.035969,           0.0081623,          0.00081545,             0.00505,             0.00505,             0.00505
                  27,            0.037167,            0.020297,          0.00087941,             0.79619,             0.90588,             0.92379,             0.53654,            0.035373,           0.0082596,          0.00079438,            0.004852,            0.004852,            0.004852
                  28,            0.035988,            0.021513,          0.00086635,             0.86571,             0.85882,             0.93624,             0.57352,             0.03395,            0.008138,          0.00075166,            0.004654,            0.004654,            0.004654
                  29,            0.037433,            0.020949,          0.00085402,             0.88063,             0.85882,             0.93883,             0.57984,            0.034299,           0.0082959,          0.00073584,            0.004456,            0.004456,            0.004456
                  30,            0.036558,            0.020121,           0.0007993,             0.84259,             0.88168,             0.93285,             0.56224,            0.035185,           0.0082263,          0.00072543,            0.004258,            0.004258,            0.004258
                  31,            0.034728,            0.022235,          0.00079476,             0.84222,             0.89412,             0.93348,             0.57074,            0.032813,           0.0084347,          0.00071444,             0.00406,             0.00406,             0.00406
                  32,            0.035161,            0.019887,          0.00070879,             0.89133,             0.82353,              0.9256,              0.5693,            0.032883,           0.0082344,          0.00069643,            0.003862,            0.003862,            0.003862
                  33,            0.033584,            0.020011,          0.00072248,             0.84594,             0.88235,             0.93411,              0.5986,            0.032577,           0.0082916,          0.00069459,            0.003664,            0.003664,            0.003664
                  34,             0.03235,            0.020294,          0.00070129,             0.87988,             0.86182,             0.93776,             0.58625,            0.032153,           0.0081451,           0.0006577,            0.003466,            0.003466,            0.003466
                  35,            0.031539,            0.019009,           0.0006523,             0.89645,             0.84706,             0.93684,             0.60179,            0.031825,           0.0084148,          0.00063658,            0.003268,            0.003268,            0.003268
                  36,            0.032124,            0.021294,          0.00062978,             0.85243,             0.88349,             0.93272,             0.57901,            0.032197,            0.008384,          0.00060681,             0.00307,             0.00307,             0.00307
                  37,            0.031284,            0.018643,          0.00059954,             0.86085,             0.85882,             0.93457,             0.58889,            0.031518,           0.0083175,          0.00058645,            0.002872,            0.002872,            0.002872
                  38,            0.033174,             0.01948,          0.00059255,             0.88731,             0.83375,             0.93071,             0.60559,            0.031291,           0.0086035,          0.00058809,            0.002674,            0.002674,            0.002674
                  39,            0.031614,            0.019492,          0.00056859,             0.86835,             0.85363,             0.93152,             0.60245,            0.031281,           0.0086196,          0.00057276,            0.002476,            0.002476,            0.002476
                  40,            0.030463,            0.018891,          0.00054209,              0.8709,             0.84706,              0.9339,             0.58755,            0.031825,           0.0084858,          0.00054865,            0.002278,            0.002278,            0.002278
                  41,            0.030853,            0.019544,          0.00055567,             0.85965,             0.86477,             0.93103,             0.59757,            0.031281,           0.0083381,          0.00051937,             0.00208,             0.00208,             0.00208
                  42,            0.032297,            0.019226,          0.00048004,             0.85355,             0.87059,             0.92697,             0.58924,            0.031658,           0.0083789,          0.00049882,            0.001882,            0.001882,            0.001882
                  43,            0.029136,            0.018022,          0.00045941,             0.87791,             0.84706,             0.92569,             0.59799,            0.030754,           0.0083324,          0.00048238,            0.001684,            0.001684,            0.001684
                  44,            0.027589,            0.017735,          0.00043002,             0.87565,             0.82845,             0.92778,             0.61296,             0.03089,           0.0083357,          0.00047413,            0.001486,            0.001486,            0.001486
                  45,            0.029499,            0.017588,          0.00043439,             0.83356,             0.87059,              0.9206,             0.59949,            0.031243,           0.0084076,          0.00046553,            0.001288,            0.001288,            0.001288
                  46,            0.028872,            0.018854,          0.00041656,             0.83522,             0.87059,             0.93131,              0.5931,             0.03175,           0.0084398,          0.00044778,             0.00109,             0.00109,             0.00109
                  47,            0.028403,            0.016538,          0.00038153,             0.79877,             0.89412,             0.92592,             0.59339,            0.031529,           0.0084404,          0.00042641,            0.000892,            0.000892,            0.000892
                  48,            0.027003,            0.017709,          0.00039171,             0.82406,             0.89412,             0.92334,             0.60086,            0.030957,           0.0084378,          0.00042324,            0.000694,            0.000694,            0.000694
                  49,            0.026845,            0.017389,           0.0003752,             0.82225,             0.87077,              0.9234,             0.60442,            0.031178,           0.0085168,             0.00042,            0.000496,            0.000496,            0.000496
